lam_01x,lam_02x,f_01_star,f_02_star,Cx
0.0264,0.0136,0.007073045,0.00364369,0.267918381
0.0125,0.05,0.00630144,0.025205761,0.504115226
0.05,0.061111111,0.034481096,0.042143561,0.689621914
0.15225,0.02275,0.119434799,0.017846579,0.784465021
0.027272727,0.109090909,0.020833333,0.083333333,0.763888889
0.085263158,0.02,0.05625,0.013194444,0.659722222
0.01372549,0.260784314,0.006226423,0.11830204,0.453639403
0.379459459,0.107027027,0.088773148,0.02503858,0.233946331
0.092105263,0.276315789,0.006845315,0.020535944,0.074320559
0.42,0.58,0.008912037,0.012307099,0.021219136